"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"DMA_0","1","DMA-DIP-40","","","","Package_DIP:DIP-40_W15.24mm_Socket","http://www.zilog.com/docs/z80/ps0183.pdf"
"FDC_0","1","GM82C765B","","","","Package_DIP:DIP-40_W15.24mm_Socket",""
"FDD_0","1","Floppy_IBM","","","","IDC-Header_2x17_P2.54mm_Vertical","~"
"FPU_0","1","Am9511","","","","Package_DIP:DIP-24_W15.24mm_Socket",""
"IDE_0","1","IDE_Full","","","","IDC-Header_2x20_P2.54mm_Vertical","~"
"IDE_1","1","CompactFlash","","","","IDC-Header_2x20_P2.54mm_Vertical","~"
"JCBUS_0,JCBUS_1,JCBUS_2,JCBUS_3,JCBUS_4,JCBUS_5","6","JC100","","","","Carboni_Library:JC100_Bus_16b","~"
"JP1","1","XOSC_CLK","","","","","~"
"JP2","1","XRES_CLK2","","","","","~"
"JP3","1","CLK_CLK2","","Excluded from BOM","","","~"
"JP4","1","RESET","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP5","1","RAM_SELECT","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"JP6","1","ROM_SELECT","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"JP7","1","CLK_FDC_RES","","Excluded from BOM","","","~"
"JP8","1","CLK_CTC","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP9","1","CLK2_CTC","","","","","~"
"JP10","1","CLK_SIOA","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP11","1","CLK2_SIOA","","","","","~"
"JP12","1","CTC_SIOA","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP13","1","CLK_SIOB","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP14","1","CLK2_SIOB","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP15","1","CTC_SIOB","","","","","~"
"JP16","1","TX1","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"JP17","1","RX1","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"JP18","1","TX2","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"JP19","1","RX2","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"JP20","1","CLK_FDC_CLK","","Excluded from BOM","","","~"
"JP21","1","PWR_FDC_12V","","Excluded from BOM","","","~"
"JP22","1","PWR_FDC_5V","","Excluded from BOM","","","~"
"JP23","1","FDC_JP1","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"JP24","1","FDC_JP2","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"JP25","1","CLK_FPU_CLK2","","Excluded from BOM","","","~"
"JP26","1","CLK_FPU_CLK","","Excluded from BOM","","","~"
"JP27","1","POWER","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP28","1","FPU_CLKd1","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP29","1","FPU_CLKd2","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP30","1","FPU_CLKd4","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP31","1","DMA_RDYA","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP32","1","DMA_RDYB","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP35","1","TAPE_LINE_OUT","","","","","~"
"JP36","1","TAPE_MIC_OUT","","","","","~"
"JP37","1","CLK_CTC_TAPE","","Excluded from BOM","","","~"
"JP38","1","CLK_555_TAPE","","Excluded from BOM","","","~"
